titulo,precio_oferta,precio_normal,ahorro_porcentaje,store_id,rating_steam,metacritic,fecha_extraccion
Asteroid Core,0.49,9.99,95.095095,1,66,0,2026-03-13 14:42:26.789026
Just Move:Clean City Messy Battle,0.79,15.99,95.059412,1,0,0,2026-03-13 14:42:26.789034
Dead End Job,0.84,16.99,95.055915,1,72,0,2026-03-13 14:42:26.789035
Jad,0.84,16.99,95.055915,1,76,0,2026-03-13 14:42:26.789036
Brother Wings,0.99,19.99,95.047524,1,70,0,2026-03-13 14:42:26.789038
Galaxy Girls,0.99,19.99,95.047524,1,68,0,2026-03-13 14:42:26.789051
Ultimate Fishing Simulator,0.99,19.99,95.047524,1,89,70,2026-03-13 14:42:26.789053
Deadliest Catch: The Game,0.99,19.99,95.047524,1,51,0,2026-03-13 14:42:26.789054
Helheim Hassle,0.99,19.99,95.047524,1,90,71,2026-03-13 14:42:26.789055
Ultimate Fishing Simulator 2,0.99,19.99,95.047524,1,68,0,2026-03-13 14:42:26.789056
One Chance,0.99,19.99,95.047524,1,90,0,2026-03-13 14:42:26.789057
Lunatic Taxi Driver,0.99,19.99,95.047524,1,85,0,2026-03-13 14:42:26.789058
Desert Special Forces,0.99,19.99,95.047524,1,73,0,2026-03-13 14:42:26.789059
Fight till the End!,0.99,19.99,95.047524,1,66,0,2026-03-13 14:42:26.789060
Wild Animals Transporter,0.99,19.99,95.047524,1,100,0,2026-03-13 14:42:26.789061
Animals vs Animals,0.99,19.99,95.047524,1,84,0,2026-03-13 14:42:26.789062
Falco Tunes,0.99,19.99,95.047524,1,100,0,2026-03-13 14:42:26.789063
Fox Golf,0.99,19.99,95.047524,1,86,0,2026-03-13 14:42:26.789064
BotMobile,0.99,19.99,95.047524,1,100,0,2026-03-13 14:42:26.789065
Go Kart Survival,0.99,19.99,95.047524,1,66,0,2026-03-13 14:42:26.789066
The Mythical City 3,0.99,19.99,95.047524,1,100,0,2026-03-13 14:42:26.789067
The Mythical City 2,0.99,19.99,95.047524,1,71,0,2026-03-13 14:42:26.789068
Dreadlands,1.24,24.99,95.038015,1,56,0,2026-03-13 14:42:26.789080
In a search of a new home,1.24,24.99,95.038015,1,54,0,2026-03-13 14:42:26.789081
Space Route,1.24,24.99,95.038015,1,90,0,2026-03-13 14:42:26.789082
Not a Masterpece,1.24,24.99,95.038015,1,91,0,2026-03-13 14:42:26.789083
Particula,1.49,29.99,95.031677,1,70,0,2026-03-13 14:42:26.789084
Masked Shooters 2,1.49,29.99,95.031677,1,75,0,2026-03-13 14:42:26.789085
Where's My Helmet?,1.49,29.99,95.031677,1,72,0,2026-03-13 14:42:26.789086
Masked Shooters,1.49,29.99,95.031677,1,71,0,2026-03-13 14:42:26.789087
