titulo,precio_oferta,precio_normal,ahorro_porcentaje,store_id,rating_steam,metacritic,fecha_extraccion
Plataformas 3D #1,28.06,47.11,40.43,1,88.5,,2026-04-17 00:59:19.738188
Plataformas 3D #2,0.97,9.59,89.91,1,,81.0,2026-04-17 00:59:19.738201
Simulador Urbano #3,6.42,37.64,82.94,8,,,2026-04-17 00:59:19.738208
Cazador de Tesoros #4,12.41,54.76,77.33,8,,,2026-04-17 00:59:19.738214
Táctico por Turnos #5,10.18,35.33,71.18,5,,,2026-04-17 00:59:19.738220
Mundo Abierto #6,8.74,44.36,80.29,6,,,2026-04-17 00:59:19.738226
Shooter Retro #7,48.05,56.25,14.57,7,,78.0,2026-04-17 00:59:19.738232
Mundo Abierto #8,4.41,9.91,55.46,2,56.1,,2026-04-17 00:59:19.738242
Estrategia Global #9,18.97,29.1,34.8,6,,82.0,2026-04-17 00:59:19.738249
Simulador Urbano #10,6.97,21.96,68.25,8,,55.0,2026-04-17 00:59:19.738311
Roguelike Clásico #11,11.83,56.46,79.05,5,70.2,46.0,2026-04-17 00:59:19.738317
Roguelike Clásico #12,20.42,50.39,59.48,2,,40.0,2026-04-17 00:59:19.738322
Shooter Retro #13,42.68,52.39,18.53,6,92.3,,2026-04-17 00:59:19.738327
Mundo Abierto #14,1.68,7.49,77.51,2,82.1,,2026-04-17 00:59:19.738332
Roguelike Clásico #15,33.98,47.74,28.82,6,95.3,,2026-04-17 00:59:19.738336
Shooter Retro #16,7.01,20.04,65.03,5,82.4,52.0,2026-04-17 00:59:19.738341
Shooter Retro #17,2.75,26.23,89.52,3,85.2,,2026-04-17 00:59:19.738346
RPG de Fantasía #18,6.01,15.28,60.64,8,,90.0,2026-04-17 00:59:19.738351
Fútbol Arcade #19,11.08,14.08,21.33,6,,,2026-04-17 00:59:19.738355
Puzzle Psicológico #20,10.73,16.55,35.17,6,72.7,,2026-04-17 00:59:19.738360
RPG de Fantasía #21,3.15,8.38,62.41,4,87.0,72.0,2026-04-17 00:59:19.738365
Táctico por Turnos #22,6.29,51.63,87.81,6,53.0,,2026-04-17 00:59:19.738370
Cazador de Tesoros #23,1.79,15.7,88.57,6,,76.0,2026-04-17 00:59:19.738374
RPG de Fantasía #24,13.74,18.87,27.17,3,64.6,70.0,2026-04-17 00:59:19.738379
Shooter Retro #25,15.35,53.08,71.08,7,90.7,,2026-04-17 00:59:19.738387
Aventura Épica #26,5.19,30.62,83.06,7,89.2,,2026-04-17 00:59:19.738395
Plataformas 3D #27,6.49,18.84,65.55,7,42.9,,2026-04-17 00:59:19.738399
Fútbol Arcade #28,12.15,22.67,46.39,2,,81.0,2026-04-17 00:59:19.738404
Mundo Abierto #29,26.6,36.33,26.79,2,72.4,,2026-04-17 00:59:19.738411
Supervivencia Oscura #30,27.52,35.69,22.9,5,,57.0,2026-04-17 00:59:19.738416
Roguelike Clásico #31,39.05,48.6,19.66,2,,,2026-04-17 00:59:19.738421
Aventura Épica #32,33.46,49.44,32.33,4,43.7,70.0,2026-04-17 00:59:19.738426
Carreras Extrema #33,8.01,10.04,20.19,8,,,2026-04-17 00:59:19.738430
Plataformas 3D #34,23.83,34.78,31.47,3,65.2,58.0,2026-04-17 00:59:19.738435
Táctico por Turnos #35,7.52,14.52,48.22,4,79.0,,2026-04-17 00:59:19.738440
Aventura Épica #36,37.29,47.19,20.98,6,,,2026-04-17 00:59:19.738447
Roguelike Clásico #37,10.46,32.83,68.14,3,,,2026-04-17 00:59:19.738452
Carreras Extrema #38,13.27,22.86,41.96,3,52.8,90.0,2026-04-17 00:59:19.738457
RPG de Fantasía #39,7.84,15.33,48.89,6,,,2026-04-17 00:59:19.738462
Simulador Urbano #40,23.93,49.36,51.52,5,,,2026-04-17 00:59:19.738466
Roguelike Clásico #41,23.98,43.44,44.8,8,43.0,,2026-04-17 00:59:19.738471
Fútbol Arcade #42,5.23,10.68,51.02,5,64.3,69.0,2026-04-17 00:59:19.738476
Mundo Abierto #43,7.85,19.7,60.17,5,,,2026-04-17 00:59:19.738480
Carreras Extrema #44,7.69,9.37,17.89,8,,,2026-04-17 00:59:19.738485
Carreras Extrema #45,33.12,51.77,36.02,5,58.2,92.0,2026-04-17 00:59:19.738490
Supervivencia Oscura #46,39.87,54.01,26.18,2,,,2026-04-17 00:59:19.738494
Puzzle Psicológico #47,11.59,42.55,72.75,2,65.0,,2026-04-17 00:59:19.738499
Supervivencia Oscura #48,7.08,43.81,83.85,5,59.6,,2026-04-17 00:59:19.738504
RPG de Fantasía #49,39.39,58.66,32.85,8,40.8,91.0,2026-04-17 00:59:19.738511
Fútbol Arcade #50,7.2,51.56,86.04,3,,74.0,2026-04-17 00:59:19.738516
Puzzle Psicológico #51,15.2,21.45,29.15,5,53.9,,2026-04-17 00:59:19.738521
Puzzle Psicológico #52,26.53,42.1,36.99,1,97.4,,2026-04-17 00:59:19.738525
Estrategia Global #53,7.0,15.61,55.16,8,84.8,68.0,2026-04-17 00:59:19.738530
Puzzle Psicológico #54,24.29,35.71,31.97,4,,91.0,2026-04-17 00:59:19.738535
Estrategia Global #55,12.65,28.19,55.13,3,41.4,62.0,2026-04-17 00:59:19.738539
Shooter Retro #56,5.87,53.77,89.09,2,52.6,,2026-04-17 00:59:19.738544
Aventura Épica #57,3.62,16.77,78.41,1,47.8,84.0,2026-04-17 00:59:19.738549
Fútbol Arcade #58,13.27,55.96,76.29,3,,89.0,2026-04-17 00:59:19.738553
Mundo Abierto #59,9.23,26.38,65.02,3,70.2,,2026-04-17 00:59:19.738558
Plataformas 3D #60,9.57,20.82,54.03,3,,,2026-04-17 00:59:19.738563
Fútbol Arcade #61,30.88,42.0,26.47,5,79.6,,2026-04-17 00:59:19.738567
RPG de Fantasía #62,43.78,49.64,11.81,8,96.2,94.0,2026-04-17 00:59:19.738574
Shooter Retro #63,3.59,19.33,81.42,1,,,2026-04-17 00:59:19.738579
Puzzle Psicológico #64,6.17,26.86,77.03,5,,78.0,2026-04-17 00:59:19.738584
Mundo Abierto #65,25.5,45.29,43.69,7,,,2026-04-17 00:59:19.738589
Aventura Épica #66,3.22,6.57,51.02,3,,,2026-04-17 00:59:19.738596
Mundo Abierto #67,13.91,26.67,47.84,1,,,2026-04-17 00:59:19.738601
Carreras Extrema #68,16.52,42.57,61.19,2,96.1,73.0,2026-04-17 00:59:19.738608
Fútbol Arcade #69,12.42,20.03,38.0,3,,,2026-04-17 00:59:19.738613
Aventura Épica #70,5.47,46.06,88.13,4,83.0,88.0,2026-04-17 00:59:19.738617
Aventura Épica #71,23.84,59.0,59.6,8,77.0,68.0,2026-04-17 00:59:19.738622
Puzzle Psicológico #72,25.31,52.16,51.47,8,60.6,86.0,2026-04-17 00:59:19.738627
Puzzle Psicológico #73,2.67,16.65,83.94,2,,82.0,2026-04-17 00:59:19.738632
Cazador de Tesoros #74,17.09,30.92,44.74,6,44.2,,2026-04-17 00:59:19.738637
Estrategia Global #75,25.37,41.76,39.25,5,,,2026-04-17 00:59:19.738642
Plataformas 3D #76,0.89,7.38,87.91,3,48.7,,2026-04-17 00:59:19.738648
Cazador de Tesoros #77,27.76,34.34,19.17,3,42.9,69.0,2026-04-17 00:59:19.738653
Simulador Urbano #78,2.89,14.34,79.86,4,,,2026-04-17 00:59:19.738659
Fútbol Arcade #79,14.44,33.69,57.15,8,,49.0,2026-04-17 00:59:19.738675
