ciudad,pais,latitud,longitud,temperatura,sensacion_termica,humedad,velocidad_viento,descripcion,codigo_tiempo,fecha_extraccion,temperatura_categoria,estado_clima,clima_severo
Mexico City,Mexico,19.4326,-99.1332,29.1,29.2,48,11.1,Partly Cloudy,116,2026-04-08 11:48:01.018551,Cálido,Parcialmente nublado,False
Lima,Peru,-12.0464,-77.0428,17.9,19.8,77,9.4,Partly Cloudy,116,2026-03-31 06:12:01.018774,Frío,Parcialmente nublado,False
Tokyo,Japan,35.6895,139.6917,22.5,23.2,75,11.4,Cloudy,119,2026-04-05 05:20:01.019013,Templado,Nublado,False
Miami,Usa,25.7617,-80.1918,26.5,27.4,66,16.3,Overcast,122,2026-04-02 07:35:01.019113,Cálido,Nublado,False
Bogota,Colombia,4.711,-74.0721,16.5,14.9,80,7.3,Light Drizzle,266,2026-03-24 00:56:01.019188,Frío,Lluvia ligera,False
Medellin,Colombia,6.2442,-75.5812,26.2,26.1,62,3.7,Partly Cloudy,116,2026-03-26 05:33:01.019262,Cálido,Parcialmente nublado,False
Sao Paulo,Brazil,-23.5505,-46.6333,23.9,25.4,73,8.9,Cloudy,119,2026-04-13 23:26:01.019321,Templado,Nublado,False
Cali,Colombia,3.4516,-76.532,27.5,23.9,82,8.6,Cloudy,119,2026-03-25 18:39:01.019416,Cálido,Nublado,False
Bogota,Colombia,4.711,-74.0721,19.5,19.1,87,12.2,Patchy Snow Showers,392,2026-03-21 03:01:01.019469,Templado,Nieve ligera,False
Tokyo,Japan,35.6895,139.6917,19.2,19.2,70,8.8,Patchy Rain Nearby,176,2026-04-10 00:05:01.019513,Templado,Lluvia ligera,False
Miami,Usa,25.7617,-80.1918,27.5,28.4,79,9.7,Patchy Rain Nearby,176,2026-04-11 17:57:01.019554,Cálido,Lluvia ligera,False
London,Uk,51.5074,-0.1278,15.6,16.3,62,9.3,Overcast,122,2026-04-09 06:40:01.019594,Frío,Nublado,False
Bogota,Colombia,4.711,-74.0721,25.3,23.9,88,10.4,Partly Cloudy,116,2026-03-20 15:21:01.019634,Cálido,Parcialmente nublado,False
Miami,Usa,25.7617,-80.1918,27.7,27.8,84,7.6,Partly Cloudy,116,2026-04-12 03:20:01.019673,Cálido,Parcialmente nublado,False
London,Uk,51.5074,-0.1278,14.0,13.5,73,7.3,Cloudy,119,2026-03-20 09:36:01.019712,Frío,Nublado,False
Cartagena,Colombia,10.391,-75.4794,24.3,23.4,95,19.3,Overcast,122,2026-03-21 08:46:01.019751,Cálido,Nublado,False
Sao Paulo,Brazil,-23.5505,-46.6333,23.9,21.4,86,19.6,Sunny,113,2026-03-17 07:27:01.019791,Templado,Despejado,False
Madrid,Spain,40.4168,-3.7038,18.1,16.5,80,14.5,Patchy Rain Nearby,176,2026-04-15 08:21:01.019841,Templado,Lluvia ligera,False
Tokyo,Japan,35.6895,139.6917,22.3,24.5,73,7.4,Partly Cloudy,116,2026-03-18 05:40:01.019884,Templado,Parcialmente nublado,False
Medellin,Colombia,6.2442,-75.5812,20.4,18.0,66,8.7,Partly Cloudy,116,2026-04-15 08:17:01.019925,Templado,Parcialmente nublado,False
Sao Paulo,Brazil,-23.5505,-46.6333,24.3,21.3,69,9.1,Partly Cloudy,116,2026-03-29 22:47:01.019965,Cálido,Parcialmente nublado,False
Medellin,Colombia,6.2442,-75.5812,25.0,23.9,71,3.0,Cloudy,119,2026-04-11 08:58:01.020004,Cálido,Nublado,False
Barranquilla,Colombia,10.9685,-74.7813,26.7,26.7,93,9.7,Sunny,113,2026-03-21 12:04:01.020043,Cálido,Despejado,False
London,Uk,51.5074,-0.1278,18.6,16.7,60,14.9,Sunny,113,2026-04-13 03:39:01.020082,Templado,Despejado,False
London,Uk,51.5074,-0.1278,16.1,19.0,72,9.1,Light Drizzle,266,2026-04-05 10:23:01.020121,Frío,Lluvia ligera,False
Cali,Colombia,3.4516,-76.532,28.4,28.5,67,13.8,Thundery Outbreaks,200,2026-04-12 01:34:01.020161,Cálido,Tormenta,True
Madrid,Spain,40.4168,-3.7038,21.8,16.4,62,10.8,Patchy Rain Nearby,176,2026-03-29 19:12:01.020210,Templado,Lluvia ligera,False
Barranquilla,Colombia,10.9685,-74.7813,29.1,32.0,77,15.4,Sunny,113,2026-04-05 04:02:01.020272,Cálido,Despejado,False
Mexico City,Mexico,19.4326,-99.1332,24.9,21.8,72,7.8,Patchy Snow Showers,392,2026-04-01 10:33:01.020311,Cálido,Nieve ligera,False
Cartagena,Colombia,10.391,-75.4794,32.3,31.3,66,6.3,Overcast,122,2026-03-23 02:15:01.020351,Muy cálido,Nublado,False
Medellin,Colombia,6.2442,-75.5812,23.3,24.3,50,4.1,Cloudy,119,2026-03-21 07:06:01.020390,Templado,Nublado,False
Lima,Peru,-12.0464,-77.0428,23.5,24.3,70,11.4,Light Drizzle,266,2026-03-19 23:07:01.020430,Templado,Lluvia ligera,False
Medellin,Colombia,6.2442,-75.5812,29.0,28.7,73,6.1,Sunny,113,2026-03-17 17:21:01.020470,Cálido,Despejado,False
